X,Y,TSEVENT_ID,YEAR,DATE_STRIN,LATITUDE,LONGITUDE,LOCATION_N,AREA,COUNTRY,REGION_COD,EVENT_RE_1
-177.361,28.215,2194,1990,4/5/90,28.215,-177.361,MIDWAY ISLANDS,HI,USA TERRITORY,80,"E Coast Australia, New Zealand, South Pacific Is."
-176.632,51.863,2194,1990,4/5/90,51.863,-176.632,"ADAK, SWEEPER COVE, AK",AK,USA,87,"E Coast Australia, New Zealand, South Pacific Is."
127.667,26.217,2194,1990,4/5/90,26.217,127.667,NAHA,OKINAWA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
124.167,24.333,2198,1990,12/13/90,24.333,124.167,ISHIGAKIKO,OKINAWA,JAPAN,85,"China, North and South Korea, Philippines, Taiwan"
125.283,24.8,2198,1990,12/13/90,24.8,125.283,MIYAKO ISLAND,OKINAWA,JAPAN,85,"China, North and South Korea, Philippines, Taiwan"
121.627,23.722,0,1990,12/13/90,23.722,121.627,TAIWAN, ,TAIWAN,84, 
126,7,0,1990,1990/05/??,7,126,"CANIGUIN IS.,PHILIPPINES", ,PHILIPPINES,84, 
124.694,9.755,0,1990,2/8/90,9.755,124.694,PHILIPPINES, ,PHILIPPINES,84, 
151.8833,7.3666,2194,1990,4/5/90,7.3666,151.8833,"TRUK ISLANDS, CAROLINE ISLANDS", ,"MICRONESIA, FED. STATES OF",81,"E Coast Australia, New Zealand, South Pacific Is."
125.281,9.993,2195,1990,1990/05/??,9.993,125.281,CANIGUIN ISLAND, ,PHILIPPINES,84,"China, North and South Korea, Philippines, Taiwan"
-155.99,19.63,2194,1990,4/5/90,19.63,-155.99,"KAILUA-KONA, HAWAII, HI",HI,USA,80,"E Coast Australia, New Zealand, South Pacific Is."
-84.166,9.4,2192,1990,3/25/90,9.4,-84.166,QUEPOS, ,COSTA RICA,88,West Coast of North and Central America
-84.833,9.967,2192,1990,3/25/90,9.967,-84.833,PUNTARENAS, ,COSTA RICA,88,West Coast of North and Central America
-84.808,9.919,0,1990,3/25/90,9.919,-84.808,COSTA RICA, ,COSTA RICA,88, 
15.438,37.3,0,1990,12/13/90,37.3,15.438,EASTERN SICILY, ,ITALY,50, 
15.2167,37.2167,2197,1990,12/13/90,37.2167,15.2167,AUGUSTA,SICILY,ITALY,50,Mediterranean Sea
136.2,34.083,2194,1990,4/5/90,34.083,136.2,OWASE,MIE,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
136.2,34.083,2194,1990,4/5/90,34.083,136.2,OWASE,MIE,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
136.817,34.483,2194,1990,4/5/90,34.483,136.817,TOBA,MIE,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
135.783,33.467,2194,1990,4/5/90,33.467,135.783,KUSHIMOTO,WAKAYAMA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
135.383,33.683,2194,1990,4/5/90,33.683,135.383,SHIRAHAMA,WAKAYAMA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
135.9,33.55,2194,1990,4/5/90,33.55,135.9,URAGAMI,WAKAYAMA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
131.667,32.433,2194,1990,4/5/90,32.433,131.667,HYUGA-SHIRAHAMA,MIYAZAKI,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
133.55,33.55,2194,1990,4/5/90,33.55,133.55,KOCHI,KOCHI,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
134.167,33.267,2194,1990,4/5/90,33.267,134.167,MUROTOMISAKI,KOCHI,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
132.9589,32.7792,2194,1990,4/5/90,32.7792,132.9589,TOSA-SHIMIZU,KOCHI,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
131.417,31.583,2194,1990,4/5/90,31.583,131.417,ABURATSU,MIYAZAKI,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
140.9,36.933,2194,1990,4/5/90,36.933,140.9,ONAHAMA,FUKUSHIMA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
140.867,35.75,2194,1990,4/5/90,35.75,140.867,CHOSHI,CHIBA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.383,34.783,2191,1990,2/20/90,34.783,139.383,OKADA,TOKYO,JAPAN,85,Japan
139.825,34.9189,2194,1990,4/5/90,34.9189,139.825,MERA,CHIBA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.133,34.217,2194,1990,4/5/90,34.217,139.133,KOZUSHIMA,"IZU-OSHIMA, TOKYO",JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.4,34.7,2196,1990,9/23/90,34.7,139.4,OSHIMA,"IZU-OSHIMA, TOKYO",JAPAN,85,Japan
138.883,34.617,2194,1990,4/5/90,34.617,138.883,MINAMI-IZU,SHIZUOKA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
138.2222,34.6083,2194,1990,4/5/90,34.6083,138.2222,OMAEZAKI,SHIZUOKA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
138.883,35.017,2194,1990,4/5/90,35.017,138.883,UCHIURA,SHIZUOKA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.8,33.133,2194,1990,4/5/90,33.133,139.8,KAMINATO,TOKYO,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.483,34.067,2194,1990,4/5/90,34.067,139.483,MIYAKE ISLAND,"BONIN IS, TOKYO",JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.767,33.1,2194,1990,4/5/90,33.1,139.767,"YAENE, HACHIJO ISLAND",TOKYO,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.133,34.217,2196,1990,9/23/90,34.217,139.133,KOZUSHIMA,"IZU-OSHIMA, TOKYO",JAPAN,85,Japan
139.383,34.783,2196,1990,9/23/90,34.783,139.383,OKADA,TOKYO,JAPAN,85,Japan
139.825,34.9189,2194,1990,4/5/90,34.9189,139.825,MERA,CHIBA,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.77,33.1,2194,1990,4/5/90,33.1,139.77,"YAENE, HACHIJO ISLAND",TOKYO,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.252,34.706,0,1990,2/20/90,34.706,139.252,JAPAN, ,JAPAN,85, 
138.643,33.267,0,1990,9/23/90,33.267,138.643,"W. OF BONIN ISLANDS, IZU IS., JAPAN", ,JAPAN,85, 
139.383,34.783,2194,1990,4/5/90,34.783,139.383,OKADA,TOKYO,JAPAN,85,"E Coast Australia, New Zealand, South Pacific Is."
139.767,33.1,2196,1990,9/23/90,33.1,139.767,"YAENE, HACHIJO ISLAND",TOKYO,JAPAN,85,Japan
