date,latitude,longitude,depth,mag,net,updated,place,country,depthError
2014-06-07T06:05:29.910Z,40.3731,51.5739,30.51,5.5,us,2015-01-30T18:02:30.249Z,105km E of Artyom, Azerbaijan,3.3
2013-07-21T23:45:56.660Z,34.512,104.262,8,5.9,us,2018-03-13T01:13:03.218Z,13km E of Chabu, China,
2013-04-06T00:29:55.090Z,42.726,130.976,562.8,5.8,us,2020-01-03T01:39:49.764Z,14km NW of Zarubino, Russia,2.1
2014-11-22T13:08:18.420Z,36.6408,137.8875,9,6.2,us,2017-10-11T20:59:50.901Z,15km N of Omachi, Japan,1.7
2014-03-13T17:06:50.770Z,33.6842,131.8249,79,6.3,us,2020-02-06T18:20:56.878Z,15km NNE of Kunisaki-shi, Japan,1.8
2013-04-24T09:25:30.040Z,34.526,70.22,63.8,5.5,us,2017-10-16T18:25:00.949Z,15km S of Mehtar Lam, Afghanistan,
2013-05-01T06:57:13.480Z,33.061,75.863,15,5.7,us,2017-10-11T20:31:42.289Z,17km NE of Bhadarwah, India,
2013-05-26T06:08:15.960Z,39.956,67.314,18,5.7,us,2017-10-11T20:33:41.419Z,19km NNE of Bulung'ur, Uzbekistan,
2014-01-26T13:55:42.210Z,38.2082,20.4528,8,6.1,us,2017-10-11T20:45:34.632Z,1km ENE of Lixourion, Greece,1
2014-05-24T09:25:02.440Z,40.2893,25.3889,6.43,6.9,us,2020-01-24T20:08:40.861Z,22km SSW of Kamariotissa, Greece,3.2
2013-11-18T19:10:45.430Z,34.3343,137.0475,328,5.6,us,2020-01-03T01:49:06.884Z,24km SE of Toba, Japan,1.8
2014-02-12T09:24:43.010Z,35.8221,82.4667,10,5.7,us,2020-01-03T02:12:54.226Z,268km ESE of Hotan, China,1.8
2014-02-12T09:19:49.060Z,35.9053,82.5864,10,6.9,us,2017-10-11T20:46:15.168Z,272km ESE of Hotan, China,1.7
2013-11-22T18:30:58.010Z,34.3083,45.6105,14,5.8,us,2017-10-11T20:43:40.967Z,28km SW of Sarpol-e Zahab, Iran,1.7
2013-10-12T13:11:53.350Z,35.5142,23.2523,40,6.6,us,2017-10-11T20:41:10.500Z,31km W of Platanos, Greece,1.9
2013-11-22T06:51:25.060Z,34.4574,45.4824,6,5.6,us,2017-10-11T20:43:30.574Z,34km W of Sarpol-e Zahab, Iran,1.2
2014-04-04T20:08:06.970Z,37.2833,23.8711,107,5.6,us,2020-01-03T02:16:34.972Z,36km ESE of Ydra, Greece,1.8
2014-08-18T05:25:51.000Z,32.72,47.69,12,5.6,us,2017-10-11T20:55:19.881Z,39km E of Dehloran, Iran,3
2013-06-18T23:02:09.820Z,54.263,86.173,9.9,5.6,us,2020-01-03T02:07:10.229Z,3km W of Starobachaty, Russia,2.2
2014-08-18T02:32:05.350Z,32.703,47.695,10.2,6.2,us,2017-10-11T20:55:09.251Z,40km E of Dehloran, Iran,3
2014-08-18T18:08:22.750Z,32.5827,47.7037,5,6,us,2017-10-11T20:55:28.370Z,42km ESE of Dehloran, Iran,1.7
2014-08-20T10:14:15.700Z,32.636,47.736,17.7,5.6,us,2017-10-11T20:55:45.771Z,44km E of Dehloran, Iran,3.4
2014-06-14T03:58:41.650Z,36.4544,70.7174,200,5.6,us,2020-01-03T02:20:16.583Z,46km SSW of Jarm, Afghanistan,1.8
2014-08-28T19:14:35.550Z,32.0864,132.0682,20,5.8,us,2020-01-03T02:23:04.870Z,53km E of Takanabe, Japan,1.7
2014-10-15T13:35:52.840Z,32.5273,47.8065,10,5.7,us,2017-10-11T20:58:35.976Z,53km ESE of Dehloran, Iran,1.7
2014-08-29T03:45:07.500Z,36.685,23.706,80,5.8,us,2015-01-28T23:52:03.265Z,59km E of Gefyra, Greece,4.1
2014-11-22T19:14:16.370Z,45.8977,27.1505,32,5.6,us,2017-10-11T21:00:03.480Z,5km E of Panciu, Romania,1.8
2013-01-28T16:38:53.580Z,42.605,79.708,15,6.1,us,2017-10-11T20:22:01.681Z,60km SE of Kegen, Kazakhstan,
2013-06-15T16:11:02.500Z,34.4,25.02,10,6.2,us,2015-01-30T04:04:46.759Z,61km S of Pirgos, Greece,
2013-04-12T20:33:17.540Z,34.369,134.828,14,5.8,us,2020-02-06T18:16:12.321Z,6km WNW of Sumoto, Japan,
2013-09-02T02:51:13.230Z,42.1989,133.6656,445,5.7,us,2013-11-06T01:33:40.000Z,75km SE of Vrangel', Russia,1.9
2014-08-10T18:46:17.970Z,27.6814,-111.6319,10,5.5,us,2015-01-30T06:50:12.322Z,76km ENE of Santa Rosalia, Mexico,1.8
2013-12-28T15:21:04.090Z,36.028,31.31,40.7,5.9,us,2017-10-11T20:44:40.671Z,77km SSW of Avsallar, Turkey,3.3
2014-02-03T03:08:46.190Z,38.2637,20.3897,5,6,us,2017-10-11T20:45:43.027Z,7km NNW of Lixourion, Greece,1.6
2013-06-16T21:39:05.780Z,34.347,25.159,19,6,us,2015-01-30T04:16:10.436Z,81km S of Pirgos, Greece,
2014-01-26T13:57:19.250Z,38.2889,20.5649,10,5.6,us,2020-01-03T02:12:04.326Z,8km WNW of Sami, Greece,1.9
2013-10-19T17:54:54.700Z,26.0913,-110.3209,9.45,6.6,us,2017-10-11T20:42:36.064Z,99km SW of Etchoropo, Mexico,3
2013-04-05T13:00:02.130Z,42.736,131.003,563.3,6.3,us,2020-01-03T01:39:26.259Z,9km N of Zarubino, Russia,2.5
2003-03-29T17:42:15.700Z,43.109,15.464,10,5.5,us,2016-11-09T22:11:12.238Z,Adriatic Sea,,
2013-01-08T14:16:08.980Z,39.656,25.54,12.8,5.7,us,2017-10-11T20:21:26.560Z,Aegean Sea,,2.3
2001-07-26T00:21:36.920Z,39.059,24.244,10,6.5,us,2020-02-06T20:20:23.695Z,Aegean Sea,,
2001-06-10T13:11:04.230Z,38.582,25.613,33,5.6,us,2020-02-06T20:19:25.432Z,Aegean Sea,,
2009-09-06T21:49:42.170Z,41.483,20.388,3,5.5,us,2020-02-06T21:09:45.724Z,Albania,Albania,
2004-11-23T02:26:16.350Z,40.324,20.629,15.4,5.5,us,2020-02-06T20:44:19.440Z,Albania,Albania,
2011-10-14T06:10:14.600Z,54.08,123.722,12,6,us,2020-01-04T09:26:16.184Z,Amurskaya Oblast', Russia,
2012-10-14T10:13:38.600Z,41.825,46.405,10,5.5,us,2017-10-11T20:15:55.288Z,Azerbaijan,Azerbaijan,
2012-05-07T04:40:27.790Z,41.549,46.789,11,5.6,us,2017-10-11T20:06:45.022Z,Azerbaijan,Azerbaijan,
2012-04-12T07:15:48.500Z,28.696,-113.104,13,7,us,2017-11-14T14:45:02.908Z,Baja California, Mexico,
2012-04-12T07:06:00.570Z,28.837,-113.027,9,6,us,2020-01-04T09:42:34.555Z,Baja California, Mexico,
2009-08-05T09:13:12.300Z,29.615,-113.789,10,5.8,us,2016-11-10T02:15:45.318Z,Baja California, Mexico,
2009-08-03T18:40:50.100Z,29.31,-113.728,10,6.2,us,2020-01-04T07:04:08.546Z,Baja California, Mexico,
2003-11-12T04:54:56.420Z,28.967,-113.219,10,5.6,us,2016-11-09T23:56:40.571Z,Baja California, Mexico,
2012-09-25T23:45:24.940Z,24.666,-110.173,10,6.3,us,2017-10-11T20:15:15.514Z,Baja California Sur, Mexico,
2006-07-30T01:20:59.250Z,26.864,-111.209,10,5.9,us,2016-11-10T01:26:21.136Z,Baja California Sur, Mexico,
